verse,ar,en,timestamps
93:1,وَالضُّحَى,By the morning brightness,0:01.319
93:2,وَالَّيْلِ إِذَا سَجَى,"And [by] the night when it covers with darkness,",0:02.450
93:3,مَا وَدَّعَكَ رَبُّكَ,"Your Lord has not taken leave of you, [O Muhammad],",0:05.936
,وَمَا قَلَى,nor has He detested [you].,0:08.440
93:4,وَلَلْءَاخِرَةُ خَيْرٌ لَّكَ مِنَ الْأُولَى,And the Hereafter is better for you than the first [life].,0:10.729
93:5,وَلَسَوْفَ يُعْطِيكَ رَبُّكَ,"And your Lord is going to give you,",0:16.215
,فَتَرْضَى,and you will be satisfied.,0:19.400
93:6,أَلَمْ يَجِدْكَ يَتِيمًا,Did He not find you an orphan,0:21.462
,فََٔاوَى,and give [you] refuge?,0:25.173
93:7,وَوَجَدَكَ ضَالًّا,And He found you lost,0:27.293
,فَهَدَى,"and guided [you],",0:32.120
93:8,وَوَجَدَكَ عَائِلًا,And He found you poor,0:33.970
,فَأَغْنَى,and made [you] self-sufficient.,0:38.093
93:9,فَأَمَّا الْيَتِيمَ,"So as for the orphan,",0:40.082
,فَلَا تَقْهَرْ,do not oppress [him].,0:42.760
93:10,وَأَمَّا السَّائِلَ,"And as for the petitioner,",0:45.292
,فَلَا تَنْهَرْ,do not repel [him].,0:49.066
93:11,وَأَمَّا بِنِعْمَةِ رَبِّكَ,"But as for the favor of your Lord,",0:51.470
,فَحَدِّثْ,report [it].,0:55.533
,,,0:56.803
